text,clase,
"""Universidad de Buenos Aires - Facultad de Derecho CERTIFICADO DE EXAMEN Nombre: Marcos E. Giménez DNI 33.456.789 Carrera: Abogacía Materia: Derecho Laboral  Fecha de examen: 15/08/2024 Turno: Noche Tipo: Primer llamado Validez: Para justificar inasistencia laboral """,Estudios,
"""Universidad Tecnológica Nacional - Facultad Regional Haedo CERTIFICADO DE EXAMEN FINAL Alumno: Ana L. Ruiz DNI 35.678.901 Carrera: Ingeniería Electrónica Materia: Circuitos Digitales (Código: EL-307) Fecha: 22/09/2024 Modalidad: Presencial  ",Estudios,
"""Instituto Nacional Superior del Profesorado Técnico CERTIFICADO DE EXAMEN Nombre: Carlos D. Sosa DNI 30.987.654 Carrera: Prof. en Electromecánica Materia: Termodinámica Aplicada Fecha: 05/11/2024 Calificación: Aprobado Observaciones: Examen escrito con defensa oral Válido para justificación laboral """,Estudios,
"""Universidad Nacional de Córdoba - Facultad de Ciencias Económicas CERTIFICADO DE RENDIMIENTO Alumno: Lucía M. Fernández DNI 34.123.876 Carrera: Contador Público Materia: Impuestos II Fecha: 10/07/2024  Tipo: Recuperatorio  Firma: Dr. Pablo Herrera""",Estudios,
"""Instituto Superior de Técnicas Bancarias (ISTB) CERTIFICADO DE EXAMEN ESPECIAL Nombre: Diego A. Ríos DNI 32.456.321 Carrera: Tec. en Finanzas Materia: Análisis de Riesgo Crediticio Fecha: 28/08/2024  Validez: Para presentación ante empleadores """,Estudios,
"""Universidad Nacional de La Plata - Facultad de Informática CERTIFICADO DE EXAMEN LIBRE Alumno: Patricia N. López DNI 36.789.123 Carrera: Lic. en Sistemas Materia: Base de Datos Avanzadas Fecha: 12/12/2024 """,Estudios,
"""Escuela Superior de Enfermería Cecilia Grierson CERTIFICADO DE EXAMEN Nombre: Florencia P. Martínez DNI 38.654.987 Carrera: Enfermería Universitaria Materia: Emergentología Fecha: 03/10/2024 Turno: Mañana ",Estudios,
"""Universidad Nacional de Rosario - Facultad de Ingeniería CERTIFICADO DE EXAMEN Alumno: Juan P. Olmedo DNI 31.234.567 Carrera: Ing. Civil Materia: Estabilidad II Fecha: 19/09/2024""",Estudios,
"""Instituto Superior de Gastronomía Gato Dumas CERTIFICADO DE EXAMEN PRÁCTICO Nombre: Sofía R. Vega DNI 39.876.543 Carrera: Tec. en Cocina Profesional Materia: Pastelería Avanzada Fecha: 25/11/2024  """,Estudios,
"""Universidad Nacional de San Martín - Escuela de Economía CERTIFICADO DE EXAMEN Nombre: Lucas G. Molina DNI 37.890.123 Carrera: Economía Materia: Macroeconomía III Fecha: 08/08/2024 Modalidad: Escrito Nota: 7 (siete) Sello UNSAM""",Estudios,
"""Conste que el/la alumno/a N°40060824 señor/ita Natalia Gutierrez ha concurrido a esta Facultad en el dia de la fecha a efectos de rendir examen parcial/final de la asignatura Base de datos. A pedido del/la alumno/a se extiende esta constancia a los 3 dias del mes de mayo del año 2025""",Estudios,
"""El profesor de la asignatura: Base de datos de la carrera: Tecnicatura Universitaria en Informatica que se dicta en certifica que: Natalia Gutierrez ha rendido examen PARCIAL /FINAL en el dia de la fecha. A pedido del interesado y al solo efecto de ser presentado ante las autoridades que lo soliciten, se expide el presente que sella y firma en la ciudad de La Plata, a los 7 dias del mes de mayo del año 2025""",Estudios,
"""Solicitud de constancia de examen: Se deja constancia de que el/la alumno/a Natalia Gutierrez dni 40060824 el dia 7 de mayo ha rendido examen PARCIAL FINAL de la materia Base de datos correspondiente a la carrera de Licenciatura en Sistemas en la sede de Capital. Se extiende esta constancia a pedido del interesado, para ser presentado ante las autoridades correspondientes.""",Estudios,
"""Universidad Nacional de La Matanza. San justo, 7/10/2025 Solicitud de constancia de asistencia a examen (valido 60 dias). Dejase constancia de que el/la alumno/a: Nombre y Apellido: Daddino Sabrina Soledad , Nro Documento: 36070453 ha rendido examen parcial/final de la asignatura: 00531-PSICOLOGIA DE LA EDUCACION (el dia 7 de mayo a las 18hs, en el aula 7132. Se extiende la presente constancia a pedido del interesado/a para ser presentada ante las autoridades correspondientes. """,Estudios,
"""Constancia de presentacion a examen. El/La profesor/a que suscribe la presente CERTIFICA que el/la sr/sra Natalia Gutierrez, estudiante regular de la carrera Sistemas con el Legajo N° 40060824 concurrio en el dia de la fecha a rendir el examen PARCIAL / FINAL de la asignatura Base de Datos que esta a su cargo. A pedido del interesado/a y al solo efecto de ser presentado ante quien corresponda, se extiende la presente constancia en la ciudad de Luján, Provincia de Buenos Aires, a los 7 dias del mes de mayo del año 2025.""",Estudios,
"""Constancia de Examen Final: Apellido y Nombre: JIMENEZ FERRER CARLOS ALBERTO Identificacion: DNI 95879762 por la presente se certifica que la persona cuyos datos se citan anteriormente se presento a rendir el siguiente examen: Propuesta (R) Ingenieria Electronica Actividad: Ingenieria y Sociedad Fecha de examen: 12/01/2021 Ubicacion: campus. Se extiende  la presente constancia a pedido del interesado para ser presentada ante JEFE DE DEPARTAMENTO en CABA- Ciudad Autonoma de Buenos Aires., Ciudad Autonoma de Buenos Aires a los 14 dias del mes de enero de 2021.""",Estudios,
"""Constancia de Examen Se deja constancia de que el alumno: Natalia Gutierrez, con DNI N° 11222333, rindio examen en la materia: Organizacion del Computador comision N°2020, con fecha 8/06/2020 dictada por el docente Leandro Dickenstein. Se extiende el presente a las autoridades pertinentes, a las cuales deba ser presentado.""",Estudios,
"""REGISTRO CIVIL NACIMIENTOS ACTA N° 98765-2024 INSCRIPCIÓN N° 12345 FECHA 20/05/2024 LIBRO 10 FOLIO 456 APELLIDO Y NOMBRES: MARTÍNEZ LUCÍA BELÉN SEXO: FEMENINO FECHA DE NACIMIENTO: 15/05/2024 HORA: 03:15 LUGAR: HOSPITAL ITALIANO DE BUENOS AIRES PADRE: MARTÍNEZ CARLOS DNI 28.345.678 MADRE: FERNÁNDEZ MARÍA DNI 30.456.789 JUEZ DE PAZ: DR. JUAN """,Nacimiento,
